epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1930.49,0.48804,0.25092,0.75031,0.94691,0.78073,0.85069,0.65662,0.41861,0.22002,0.74444,0.007855,0.007855,0.007855
67,1959.68,0.48609,0.25029,0.75027,0.93636,0.77795,0.85151,0.6682,0.41141,0.21854,0.74356,0.007822,0.007822,0.007822
68,1989.06,0.48506,0.24988,0.74912,0.94151,0.7738,0.83477,0.65061,0.41485,0.2181,0.74425,0.007789,0.007789,0.007789
69,2018.28,0.48273,0.24855,0.74984,0.92147,0.77606,0.84335,0.65156,0.414,0.21815,0.74398,0.007756,0.007756,0.007756
70,2047.46,0.48493,0.24919,0.7488,0.9584,0.78146,0.84928,0.66139,0.4097,0.21592,0.7436,0.007723,0.007723,0.007723
71,2076.62,0.47861,0.24636,0.74952,0.94037,0.77482,0.83767,0.66196,0.41103,0.2164,0.74307,0.00769,0.00769,0.00769
72,2105.79,0.47943,0.24828,0.74818,0.94533,0.77277,0.83487,0.64546,0.41485,0.21699,0.74397,0.007657,0.007657,0.007657
73,2135.14,0.47807,0.24586,0.74887,0.9441,0.77711,0.83501,0.64612,0.41424,0.21663,0.7441,0.007624,0.007624,0.007624
74,2164.29,0.47468,0.24726,0.74716,0.94394,0.77792,0.85083,0.66808,0.40558,0.2128,0.74313,0.007591,0.007591,0.007591
75,2193.36,0.47805,0.24579,0.74824,0.94124,0.77373,0.82562,0.64541,0.40964,0.21409,0.74323,0.007558,0.007558,0.007558
76,2222.57,0.47308,0.24368,0.74842,0.96016,0.78016,0.86086,0.66898,0.4076,0.21288,0.74327,0.007525,0.007525,0.007525
77,2251.84,0.47505,0.24445,0.74763,0.95636,0.78082,0.8557,0.67353,0.40704,0.21247,0.74316,0.007492,0.007492,0.007492
78,2281.06,0.47426,0.24433,0.74754,0.95514,0.77401,0.86185,0.67703,0.40719,0.21228,0.74267,0.007459,0.007459,0.007459
79,2310.38,0.46944,0.24217,0.74726,0.93836,0.77805,0.84957,0.66813,0.40662,0.21181,0.74314,0.007426,0.007426,0.007426
80,2339.59,0.4725,0.24289,0.74769,0.96761,0.77857,0.85474,0.66893,0.4063,0.21127,0.74257,0.007393,0.007393,0.007393
81,2368.75,0.46779,0.24064,0.74808,0.96424,0.78463,0.86652,0.68385,0.40331,0.2099,0.74272,0.00736,0.00736,0.00736
82,2397.9,0.46529,0.23923,0.74768,0.95903,0.77303,0.83774,0.66347,0.40068,0.20934,0.742,0.007327,0.007327,0.007327
83,2427.09,0.46495,0.23939,0.74804,0.9408,0.77721,0.84008,0.65825,0.40292,0.21047,0.74262,0.007294,0.007294,0.007294
84,2456.41,0.46542,0.23928,0.74695,0.95047,0.78019,0.85027,0.67286,0.40142,0.20834,0.74205,0.007261,0.007261,0.007261
85,2485.6,0.46156,0.23799,0.7462,0.92731,0.76545,0.82975,0.66034,0.40215,0.20949,0.74243,0.007228,0.007228,0.007228
86,2514.82,0.45913,0.23646,0.74813,0.9513,0.76874,0.85284,0.67734,0.4018,0.20888,0.74239,0.007195,0.007195,0.007195
87,2544.06,0.46474,0.23918,0.74678,0.9664,0.78299,0.86261,0.68292,0.39944,0.20791,0.74211,0.007162,0.007162,0.007162
88,2573.3,0.4616,0.23709,0.74678,0.95364,0.76663,0.83365,0.66247,0.40054,0.20868,0.74208,0.007129,0.007129,0.007129
89,2602.45,0.45775,0.23564,0.74702,0.95891,0.77465,0.86074,0.67769,0.39961,0.20776,0.74235,0.007096,0.007096,0.007096
90,2631.77,0.45771,0.23533,0.747,0.93082,0.77693,0.83598,0.66427,0.39848,0.20747,0.74189,0.007063,0.007063,0.007063
91,2660.87,0.45838,0.23583,0.74691,0.95193,0.77501,0.83896,0.66546,0.3979,0.20567,0.74193,0.00703,0.00703,0.00703
92,2690.01,0.45566,0.23494,0.74644,0.96098,0.77845,0.85416,0.675,0.39698,0.20647,0.74172,0.006997,0.006997,0.006997
93,2719.21,0.45244,0.23396,0.7462,0.96035,0.77664,0.8731,0.69601,0.39608,0.20416,0.74164,0.006964,0.006964,0.006964
94,2748.43,0.45351,0.23434,0.74618,0.96718,0.78019,0.87497,0.68759,0.39601,0.20348,0.74129,0.006931,0.006931,0.006931
95,2777.73,0.45114,0.23289,0.74623,0.95025,0.77349,0.84268,0.66602,0.39592,0.20386,0.74127,0.006898,0.006898,0.006898
96,2806.83,0.44893,0.23161,0.74603,0.95773,0.77519,0.84739,0.67107,0.39617,0.20468,0.74146,0.006865,0.006865,0.006865
97,2836.03,0.44805,0.2305,0.74661,0.95029,0.76664,0.83944,0.67309,0.39078,0.2017,0.74109,0.006832,0.006832,0.006832
98,2865.21,0.45104,0.23177,0.7462,0.94346,0.77072,0.83292,0.6628,0.3952,0.20347,0.74125,0.006799,0.006799,0.006799
99,2894.4,0.45007,0.2318,0.74566,0.9664,0.77877,0.86621,0.68608,0.39035,0.20103,0.74077,0.006766,0.006766,0.006766
100,2923.58,0.44864,0.23098,0.74668,0.95145,0.77286,0.83621,0.66488,0.38976,0.20109,0.74097,0.006733,0.006733,0.006733
101,2952.92,0.44643,0.22898,0.74598,0.94985,0.77283,0.84017,0.67072,0.39022,0.19996,0.74086,0.0067,0.0067,0.0067
102,2982.17,0.4451,0.22934,0.74549,0.96,0.78127,0.85126,0.67717,0.38845,0.20024,0.74065,0.006667,0.006667,0.006667
103,3011.41,0.44439,0.22951,0.74554,0.95887,0.78063,0.85391,0.67602,0.38959,0.20057,0.74067,0.006634,0.006634,0.006634
104,3040.65,0.44638,0.22967,0.74621,0.94805,0.77487,0.85771,0.68501,0.39031,0.20077,0.7407,0.006601,0.006601,0.006601
105,3069.87,0.44118,0.22666,0.74534,0.95088,0.78128,0.86016,0.68344,0.39041,0.20009,0.74043,0.006568,0.006568,0.006568
106,3099.19,0.44149,0.22648,0.74518,0.96379,0.77693,0.85081,0.67865,0.38799,0.19868,0.74044,0.006535,0.006535,0.006535
107,3128.37,0.44242,0.22775,0.74519,0.96092,0.78661,0.86295,0.68468,0.38852,0.19864,0.74064,0.006502,0.006502,0.006502
108,3157.53,0.43974,0.22565,0.74485,0.95295,0.77189,0.84404,0.6701,0.38687,0.19833,0.74044,0.006469,0.006469,0.006469
109,3186.77,0.43883,0.22602,0.74465,0.9584,0.77949,0.85435,0.68231,0.38545,0.19747,0.74013,0.006436,0.006436,0.006436
110,3215.96,0.43877,0.22488,0.74406,0.95116,0.78863,0.85834,0.68032,0.38408,0.19705,0.74004,0.006403,0.006403,0.006403
111,3245.21,0.43428,0.22242,0.74502,0.9517,0.77619,0.84066,0.66953,0.38423,0.1968,0.74021,0.00637,0.00637,0.00637
112,3274.6,0.43559,0.22449,0.74436,0.95666,0.78189,0.84781,0.67446,0.38359,0.19572,0.74003,0.006337,0.006337,0.006337
113,3303.82,0.43477,0.22349,0.74496,0.95029,0.77428,0.85513,0.67966,0.38308,0.1963,0.73982,0.006304,0.006304,0.006304
114,3333.04,0.4351,0.22363,0.74405,0.94625,0.77603,0.84221,0.66613,0.38425,0.196,0.74018,0.006271,0.006271,0.006271
115,3362.24,0.42956,0.22075,0.7437,0.95647,0.77708,0.85144,0.68197,0.38269,0.19533,0.73996,0.006238,0.006238,0.006238
116,3391.49,0.43266,0.22285,0.74463,0.95063,0.77501,0.84585,0.6716,0.38229,0.19508,0.73987,0.006205,0.006205,0.006205
117,3420.87,0.43228,0.22248,0.74463,0.95132,0.7791,0.84966,0.68111,0.38104,0.19432,0.73959,0.006172,0.006172,0.006172
118,3450.08,0.42929,0.22148,0.74358,0.94384,0.77931,0.84321,0.66821,0.38104,0.1938,0.73991,0.006139,0.006139,0.006139
119,3479.27,0.42807,0.21963,0.74493,0.94825,0.77181,0.84695,0.67532,0.37978,0.19374,0.73974,0.006106,0.006106,0.006106
120,3508.54,0.4277,0.22028,0.74318,0.95979,0.78332,0.86432,0.69423,0.37866,0.19317,0.73947,0.006073,0.006073,0.006073
121,3537.73,0.42702,0.21937,0.74372,0.96455,0.78103,0.85248,0.67598,0.38037,0.19359,0.73953,0.00604,0.00604,0.00604
122,3566.91,0.42337,0.21775,0.74352,0.95884,0.77753,0.84974,0.67419,0.37775,0.19166,0.73939,0.006007,0.006007,0.006007
123,3596.19,0.42596,0.21996,0.74429,0.95313,0.77868,0.84689,0.6732,0.37928,0.1928,0.73943,0.005974,0.005974,0.005974
124,3625.37,0.4258,0.2195,0.74333,0.96516,0.77017,0.84398,0.6725,0.37923,0.1913,0.73941,0.005941,0.005941,0.005941
125,3654.56,0.42276,0.21764,0.74419,0.96056,0.78977,0.8585,0.68351,0.37839,0.1918,0.73952,0.005908,0.005908,0.005908
126,3683.75,0.42445,0.21734,0.74404,0.9655,0.77609,0.84376,0.67725,0.37755,0.19078,0.7393,0.005875,0.005875,0.005875
127,3712.89,0.42258,0.2169,0.74363,0.96357,0.77715,0.84962,0.68151,0.37776,0.19133,0.7396,0.005842,0.005842,0.005842
128,3742.2,0.41947,0.21543,0.74274,0.96816,0.78348,0.86513,0.69268,0.3758,0.19025,0.73905,0.005809,0.005809,0.005809
129,3771.42,0.41979,0.21588,0.74359,0.96401,0.77556,0.84963,0.68127,0.37491,0.1896,0.73904,0.005776,0.005776,0.005776
130,3800.58,0.41952,0.21664,0.74349,0.97085,0.77606,0.84454,0.67459,0.37687,0.19074,0.73939,0.005743,0.005743,0.005743
131,3829.82,0.41813,0.21541,0.74236,0.96099,0.7782,0.85329,0.68063,0.37413,0.18969,0.73897,0.00571,0.00571,0.00571
132,3859.06,0.41781,0.21456,0.74294,0.96141,0.7867,0.86063,0.68686,0.37405,0.18943,0.73886,0.005677,0.005677,0.005677
133,3888.37,0.41751,0.21431,0.74291,0.96167,0.78664,0.85934,0.68407,0.37375,0.18987,0.73874,0.005644,0.005644,0.005644
134,3917.5,0.41501,0.21293,0.7431,0.96768,0.78444,0.85355,0.68525,0.37339,0.18794,0.73869,0.005611,0.005611,0.005611
135,3946.7,0.41504,0.21266,0.74286,0.95769,0.77923,0.83946,0.67223,0.37207,0.18765,0.73861,0.005578,0.005578,0.005578
